power,war_name,start_year,end_year,duration,outcome,primary_enemy,enemy_modern_equiv,enemy_type,posture,home_away,self_capital,enemy_capital,distance_km,self_gdp_cap,self_pop_thousands,opp_gdp_cap,opp_pop_thousands,self_urban_pct,opp_urban_pct,self_builtup_ha,self_grazing_ha,self_cropland_ha,opp_builtup_ha,opp_grazing_ha,opp_cropland_ha,self_urban_pop,self_rural_pop,opp_urban_pop,opp_rural_pop,gdp_cap_ratio,pop_ratio,urban_pct_ratio,builtup_ratio,grazing_ratio,cropland_ratio,urban_pop_ratio,self_total_gdp,opp_total_gdp,total_gdp_ratio,log_gdp_cap_ratio,log_total_gdp_ratio,log_pop_ratio,log_urban_pct_ratio,log_builtup_ratio,log_grazing_ratio,log_cropland_ratio,log_urban_pop_ratio,log_distance,win,is_offensive,is_home,is_colonial,century
France,Thirty Years' War,1635,1648,13,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052,1481.1901156928238,19539.85,1000.1792647901416,8425.5,6.9024267450000005,18.1875,87487.854,24742556.3,19528756.1,22309.94465,4337302.655,7435388.975,1354257.0,18247572.2,1510412.5,6814587.5,1.4809246380483685,2.319132395703519,0.37951487257731964,3.92147337756842,5.7045952906876405,2.626460588095864,0.8966140044524261,28942232.68212042,8427010.395489339,3.4344603036934793,0.3926666481356785,1.2338597965014892,0.8411931483658109,-0.9688614929872966,1.3664674448086822,1.7412720413915224,0.9656371558151396,-0.10912982787304876,6.9584483932976555,1.0,1,0,0,17
France,Franco-Spanish War,1635,1659,24,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052,1481.1901156928238,19539.85,1000.1792647901416,8425.5,6.9024267450000005,18.1875,87487.854,24742556.3,19528756.1,22309.94465,4337302.655,7435388.975,1354257.0,18247572.2,1510412.5,6814587.5,1.4809246380483685,2.319132395703519,0.37951487257731964,3.92147337756842,5.7045952906876405,2.626460588095864,0.8966140044524261,28942232.68212042,8427010.395489339,3.4344603036934793,0.3926666481356785,1.2338597965014892,0.8411931483658109,-0.9688614929872966,1.3664674448086822,1.7412720413915224,0.9656371558151396,-0.10912982787304876,6.9584483932976555,1.0,1,0,0,17
France,War of Devolution,1667,1668,1,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052,2043.6354416626168,20490.57,1051.855744108303,8595.1,6.950430169,19.2275,87487.854,25986248.46,20275702.02,23357.27233,4193668.511,7719932.495,1445428.84,19333272.04,1566332.5,6598667.5,1.9428856600436992,2.38398273434864,0.36148382103757637,3.7456365950587007,6.196543287061918,2.6264092377921755,0.9228109868115487,41875255.07186876,9040805.306185275,4.631805868357741,0.6641743215426414,1.5329468284160965,0.868772506873455,-1.0175379934676325,1.32059158785274,1.8239916022261282,0.9656176044821,-0.08033084680245066,6.9584483932976555,1.0,1,0,0,17
France,Franco-Dutch War,1672,1678,6,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052,1933.4052469654948,20639.12,1124.3476622375917,8621.6,6.957930704,19.39,87487.854,26180575.36,20392412.32,23520.91728,4171225.676,7764392.42,1459674.44,19502912.64,1575070.0,6564930.0,1.7195795499034328,2.3938851257307228,0.358841191542032,3.7195766201852822,6.276470609258879,2.6264015542892922,0.9267362339451579,39903782.90075048,9693675.80474762,4.116475907024559,0.542079813212583,1.4149974349576198,0.8729176217450367,-1.0248753517580766,1.3136098500298534,1.8368078176010787,0.9656146789996536,-0.0760862911806824,6.9584483932976555,1.0,1,0,0,17
France,Franco-Algerian War,1681,1688,7,Indecisive,Regency of Algiers,Algeria,Colonial / Eastern,Offensive,Away,Paris,Algiers,1347,1769.931365466634,20906.510000000002,685.0,1845.0,6.971431667,2.0873501290000003,87487.854,26530363.78,20602490.86,1360.468181,6106428.715,945239.475,1485316.52,19808265.72,38090.031930000005,1806910.043,2.5838414094403417,11.331441734417345,3.339847766862116,64.30716662237027,4.344661178935911,21.796054232711768,38.994887763014795,37003087.79144184,1263825.0,29.278648382048022,0.9492772099812957,3.3768585262123216,2.427581316231026,1.205925227166067,4.163671081057234,1.4689477761453578,3.0817289549133777,3.6634305545378987,7.205635176410364,,1,0,1,17
France,War of the Reunions,1683,1684,1,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052,1953.923871332805,20965.93,1094.0781997101856,8679.9,6.974431881,19.747500000000002,87487.854,26608094.54,20649174.98,23880.93617,4121851.439,7862204.255,1491014.76,19876121.96,1594292.5,6490707.5,1.785908787736002,2.415457551354278,0.35318049783516897,3.66350185676159,6.4553744679491345,2.626384956466639,0.9352203312754718,40965831.1116926,9496489.36566444,4.3137868673668915,0.5799274104536275,1.461816141870957,0.8818887314173293,-1.0407760274189888,1.298419481444992,1.8649130346917464,0.9656083593738247,-0.06697312903121412,6.9584483932976555,1.0,1,0,0,17
France,War of the League of Augsburg,1688,1697,9,Indecisive,England,United Kingdom,European,Offensive,Away,Paris,London,343,1941.8349109790838,21114.48,2333.0,8277.6,6.981932415999999,2.1,87487.854,26802421.44,20765885.28,3957.7435,3930173.0640000002,8593031.8,1505260.36,20045762.56,137585.0996,6414086.78,0.8323338666862768,2.5507973325601623,3.3247297219047613,22.105488645234338,6.819654250218026,2.4165958841208988,10.94057688206231,41000834.391169645,19311640.8,2.1231150069428404,-0.18352163657819565,0.7528843531534698,0.9364059897316656,1.2013883841586945,3.0958259326766915,1.9198087741212926,0.8823598904402497,2.392478527053518,5.8377304471659395,,1,0,0,17
France,War of the Spanish Succession,1701,1714,13,Indecisive,England,United Kingdom,European,Defensive,Home,Paris,London,343,1776.4617571071435,21552.491666666665,2613.0,8670.616666666667,7.19260623,2.52199997,87487.854,27129599.4,21088439.0,4493.83469,4045534.0,8681622.8,1587183.31,20465214.6,173639.322,6637650.15,0.679855245735608,2.4856930591249755,2.85194540664487,19.46841840770961,6.706061400052502,2.4290895245990183,9.140690551648204,38287177.216203734,22656321.35,1.6899114655347052,-0.3858753773910768,0.5246761403051509,0.9105515176962278,1.0480013602387068,2.9687935838149233,1.9030118039896697,0.887516505906933,2.2127359353088374,5.8377304471659395,,0,1,0,18
France,War of the Quadruple Alliance,1718,1720,2,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052,1995.652597360633,22937.85,1149.1208533780512,9284.95,10.4680326,20.6960016,95769.5628,24667130.4,21801566.4,28913.4896,4623769.2,8412704.6,2417163.54,20656058.8,1909971.8399999999,7318301.9,1.7366777319322393,2.470433335666858,0.5057997579590446,3.312279635730998,5.334853305394222,2.591505043455347,1.2655493077845588,45775979.930368595,10669529.667572537,4.290346562275715,0.5519739386309401,1.4563675134243474,0.9043935747934073,-0.6816144232773385,1.19763666403711,1.6742613877297954,0.9522388047986716,0.2355062633293886,6.9584483932976555,1.0,1,0,0,18
France,War of the Polish Succession,1733,1738,5,Won,Austria,Austria,European,Offensive,Away,Paris,Vienna,1033,2006.0575800293796,24160.225,1941.0,2738.975,13.358088599999999,6.44999991,113934.692,22218081.0,22403814.0,7526.672200000001,2308929.74,1023378.0079999999,3204894.29,20769079.2,160827.516,2330789.12,1.033517557974951,8.820900154254785,2.0710215172700677,15.137459022062895,9.622675222676978,21.89202213147422,19.92752465318186,48466802.49646531,5316350.475,9.116555186566272,0.03296808884390238,2.2100920119605387,2.1771239231166364,0.7280419721567056,2.7171724018276784,2.26412231569321,3.0861222842200524,2.992101924462915,6.940222469119639,1.0,1,0,0,18
